STATE_ABBR,COUNTY,TOTAL_POPULATION,POP_ONE_RACE,WHITE,BLACK,AMARICAN_INDIAN,ASIAN,HAWAIIAN,OTHER
CO,Yuma County,9988,8937,7437,22,73,34,6,1365
SD,Aurora County,2747,2650,2443,14,38,14,2,139
SD,Beadle County,19149,17825,13861,165,328,2071,58,1342
SD,Bennett County,3381,3122,1011,7,2093,7,0,4
SD,Bon Homme County,7003,6847,6194,107,459,11,5,71
SD,Brookings County,34375,32918,30291,637,414,917,13,646
SD,Brown County,38301,36527,33096,566,1198,922,45,700
SD,Brule County,5247,4966,4365,33,518,26,5,19
SD,Buffalo County,1948,1872,286,0,1585,1,0,0
SD,Butte County,10243,9692,9319,12,205,30,5,121
SD,Campbell County,1377,1326,1282,0,31,6,0,7
SD,Charles Mix County,9373,8961,5751,16,3098,31,18,47
SD,Clark County,3837,3727,3617,12,24,7,2,65
SD,Clay County,14967,14167,12809,235,600,361,4,158
SD,Codington County,28325,27347,26091,116,687,197,9,247
SD,Corson County,3902,3724,957,6,2734,20,0,7
SD,Custer County,8318,7900,7585,32,175,25,1,82
SD,Davison County,19956,19151,17790,157,652,117,0,435
SD,Day County,5449,5217,4627,7,538,22,5,18
SD,Deuel County,4295,4189,4068,10,31,2,5,73
SD,Dewey County,5239,5020,855,9,4136,6,0,14
SD,Douglas County,2835,2727,2664,7,36,3,2,15
SD,Edmunds County,3986,3901,3802,12,39,23,0,25
SD,Fall River County,6973,6560,5992,35,416,47,11,59
SD,Faulk County,2125,2075,2014,2,45,3,0,11
SD,Grant County,7556,7224,6846,3,90,16,3,266
SD,Gregory County,3994,3822,3504,9,266,22,4,17
SD,Haakon County,1872,1790,1720,2,34,14,4,16
SD,Hamlin County,6164,5988,5727,5,50,13,6,187
SD,Hand County,3145,3067,3006,7,11,7,0,36
SD,Hanson County,3461,3365,3330,5,6,0,5,19
SD,Harding County,1311,1259,1214,5,29,0,0,11
SD,Hughes County,17765,16769,14232,91,2137,130,4,175
SD,Hutchinson County,7427,7269,7068,9,92,21,0,79
SD,Hyde County,1262,1212,1092,4,103,5,1,7
SD,Jackson County,2806,2627,1049,11,1548,7,4,8
SD,Jerauld County,1663,1613,1557,1,13,8,0,34
SD,Jones County,917,832,777,4,49,0,0,2
SD,Kingsbury County,5187,5053,4964,8,25,11,7,38
SD,Lake County,11059,10635,10138,107,128,71,12,179
SD,Lawrence County,25768,24412,23319,135,552,196,22,188
SD,Lincoln County,65161,62246,58994,1132,483,1001,10,626
SD,Lyman County,3718,3575,1919,3,1640,4,0,9
SD,McCook County,5682,5471,5320,9,66,4,0,72
SD,McPherson County,2411,2343,2275,3,28,4,2,31
SD,Marshall County,4306,4060,3628,7,335,13,1,76
SD,Meade County,29852,27698,25727,446,892,280,48,305
SD,Mellette County,1918,1781,655,1,1112,3,0,10
SD,Miner County,2298,2223,2186,4,11,6,0,16
SD,Minnehaha County,197214,185552,158352,11527,5350,4617,76,5630
SD,Moody County,6336,5923,4847,19,763,86,3,205
SD,Oglala Lakota County,13672,13376,446,24,12822,39,0,45
SD,Pennington County,109222,100631,84558,1420,11701,1493,87,1372
SD,Perkins County,2835,2745,2659,2,66,7,3,8
SD,Potter County,2472,2420,2329,6,56,14,0,15
SD,Roberts County,10280,9755,5605,33,4023,27,0,67
SD,Sanborn County,2330,2233,2186,2,25,10,0,10
SD,Spink County,6361,6180,6024,25,71,2,0,58
SD,Stanley County,2980,2800,2568,12,194,8,9,9
SD,Sully County,1446,1380,1350,5,10,6,0,9
SD,Todd County,9319,9049,710,10,8269,45,1,14
SD,Tripp County,5624,5348,4325,10,986,5,0,22
SD,Turner County,8673,8330,8109,37,58,15,2,109
SD,Union County,16811,15969,15131,172,146,249,27,244
SD,Walworth County,5315,4998,4140,13,808,16,0,21
SD,Yankton County,23310,22228,20573,317,695,129,9,505
SD,Ziebach County,2413,2340,407,0,1925,3,3,2
NC,Alamance County,171415,159680,105847,34014,1427,2848,105,15439
NC,Alexander County,36444,34766,31284,1932,144,392,5,1009
NC,Alleghany County,10888,10318,9544,104,47,15,6,602
NC,Anson County,22055,21340,10692,9871,106,221,7,443
NC,Ashe County,26577,25477,24435,127,77,103,12,723
NC,Avery County,17806,17110,15746,664,89,63,1,547
NC,Beaufort County,44652,42822,29817,10303,168,166,16,2352
NC,Bertie County,17934,17398,6339,10720,63,63,6,207
NC,Bladen County,29606,28328,16102,9576,799,48,11,1792
NC,Brunswick County,136693,129304,112307,11546,895,910,92,3554
NC,Buncombe County,269452,250488,218867,15311,1243,3322,496,11249
NC,Burke County,87570,82929,69671,4854,1337,3168,70,3829
